Date : 2020-04-14 13:05:08
Directory : c:\Users\benro\Documents\workspaces\senior-design
Total : 216 files,  19785 codes, 979 comments, 3126 blanks, all 23890 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| ReactAndFlask\reactfrontend\src\javascript\assets                                                                                            |         18 |      3,767 |         63 |        425 |      4,255 |
| ReactAndFlask\reactfrontend\src\javascript\assets\enums                                                                                      |          2 |         43 |          0 |          2 |         45 |
| ReactAndFlask\reactfrontend\src\javascript\assets\helpers                                                                                    |         13 |      3,661 |         63 |        409 |      4,133 |
| ReactAndFlask\reactfrontend\src\javascript\assets\helpers\functions                                                                          |          3 |         56 |         23 |         23 |        102 |
| ReactAndFlask\reactfrontend\src\javascript\assets\pages                                                                                      |          1 |         52 |          0 |          6 |         58 |
| ReactAndFlask\reactfrontend\src\javascript\assets\stylesheets                                                                                |          1 |          5 |          0 |          2 |          7 |
| ReactAndFlask\reactfrontend\src\javascript\changeplans                                                                                       |          1 |        660 |         44 |         80 |        784 |
| ReactAndFlask\reactfrontend\src\javascript\changeplans\pages                                                                                 |          1 |        660 |         44 |         80 |        784 |
| ReactAndFlask\reactfrontend\src\javascript\enums                                                                                             |          1 |          4 |          0 |          1 |          5 |
| ReactAndFlask\reactfrontend\src\javascript\errors                                                                                            |          1 |         18 |          4 |          6 |         28 |
| ReactAndFlask\reactfrontend\src\javascript\helpers                                                                                           |         12 |        246 |          1 |         46 |        293 |
| ReactAndFlask\reactfrontend\src\javascript\helpers\functions                                                                                 |          6 |         51 |          0 |         14 |         65 |
| ReactAndFlask\reactfrontend\src\javascript\logs                                                                                              |          2 |        193 |          0 |         27 |        220 |
| ReactAndFlask\reactfrontend\src\javascript\logs\enums                                                                                        |          1 |          4 |          0 |          1 |          5 |
| ReactAndFlask\reactfrontend\src\javascript\logs\pages                                                                                        |          1 |        189 |          0 |         26 |        215 |
| ReactAndFlask\reactfrontend\src\javascript\models                                                                                            |         11 |      2,022 |         13 |        185 |      2,220 |
| ReactAndFlask\reactfrontend\src\javascript\models\enums                                                                                      |          2 |         23 |          0 |          2 |         25 |
| ReactAndFlask\reactfrontend\src\javascript\models\helpers                                                                                    |          6 |      1,478 |          6 |        112 |      1,596 |
| ReactAndFlask\reactfrontend\src\javascript\models\pages                                                                                      |          1 |        520 |          7 |         66 |        593 |
| ReactAndFlask\reactfrontend\src\javascript\models\stylesheets                                                                                |          1 |          0 |          0 |          1 |          1 |
| ReactAndFlask\reactfrontend\src\javascript\racks                                                                                             |         11 |      1,125 |          3 |        155 |      1,283 |
| ReactAndFlask\reactfrontend\src\javascript\racks\enums                                                                                       |          2 |         12 |          0 |          2 |         14 |
| ReactAndFlask\reactfrontend\src\javascript\racks\helpers                                                                                     |          4 |        638 |          0 |         72 |        710 |
| ReactAndFlask\reactfrontend\src\javascript\racks\helpers\functions                                                                           |          1 |        157 |          0 |         19 |        176 |
| ReactAndFlask\reactfrontend\src\javascript\racks\pages                                                                                       |          3 |        441 |          3 |         72 |        516 |
| ReactAndFlask\reactfrontend\src\javascript\racks\stylesheets                                                                                 |          1 |         33 |          0 |          6 |         39 |
| ReactAndFlask\reactfrontend\src\javascript\statistics                                                                                        |          2 |        200 |          0 |         17 |        217 |
| ReactAndFlask\reactfrontend\src\javascript\statistics\enums                                                                                  |          1 |          4 |          0 |          1 |          5 |
| ReactAndFlask\reactfrontend\src\javascript\statistics\pages                                                                                  |          1 |        196 |          0 |         16 |        212 |
| ReactAndFlask\reactfrontend\src\javascript\users                                                                                             |         15 |      1,007 |          1 |        115 |      1,123 |
| ReactAndFlask\reactfrontend\src\javascript\users\enums                                                                                       |          3 |         18 |          0 |          3 |         21 |
| ReactAndFlask\reactfrontend\src\javascript\users\helpers                                                                                     |         10 |        719 |          0 |         78 |        797 |
| ReactAndFlask\reactfrontend\src\javascript\users\helpers\functions                                                                           |          5 |        111 |          0 |         17 |        128 |
| ReactAndFlask\reactfrontend\src\javascript\users\pages                                                                                       |          1 |        261 |          1 |         27 |        289 |
| ReactAndFlask\reactfrontend\src\stylesheets                                                                                                  |          4 |         94 |          1 |         22 |        117 |
| ReactAndFlask\reactfrontend\src\tests                                                                                                        |          3 |         90 |          4 |          6 |        100 |
| templates                                                                                                                                    |          1 |          1 |          0 |          1 |          2 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                     | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\benro\Documents\workspaces\senior-design\.circleci\config.yml                                                                       | YAML             |         18 |          0 |          4 |         22 |
| c:\Users\benro\Documents\workspaces\senior-design\.isort.cfg                                                                                 | Properties       |          6 |          0 |          1 |          7 |
| c:\Users\benro\Documents\workspaces\senior-design\.pre-commit-config.yaml                                                                    | YAML             |         60 |          0 |          7 |         67 |
| c:\Users\benro\Documents\workspaces\senior-design\Makefile                                                                                   | Makefile         |         72 |          0 |         15 |         87 |
| c:\Users\benro\Documents\workspaces\senior-design\README.md                                                                                  | Markdown         |          1 |          0 |          1 |          2 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\Database.md                                                    | Markdown         |         43 |          0 |         31 |         74 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\README.md                                                      | Markdown         |          2 |          0 |          2 |          4 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\__init__.py                                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\backup_job.sh                                      | Shell Script     |          3 |          0 |          3 |          6 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\backup_server.py                                   | Python           |        108 |         22 |         41 |        171 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\backups_manager.py                                 | Python           |         64 |          7 |         22 |         93 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\credentials.json                                   | JSON             |         14 |          0 |          1 |         15 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\email_manager.py                                   | Python           |         22 |          8 |         13 |         43 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\routes_backups.py                                  | Python           |         76 |          3 |         26 |        105 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\test.py                                            | Python           |         20 |          8 |          6 |         34 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\ChangePlanAPI.md                              | Markdown         |        338 |          0 |          9 |        347 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\change_plan_action_manager.py                 | Python           |        308 |          1 |         48 |        357 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\change_plan_manager.py                        | Python           |        157 |          3 |         22 |        182 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\change_plan_validator.py                      | Python           |        479 |          4 |         78 |        561 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\routes_change_plans.py                        | Python           |        168 |         34 |         52 |        254 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\work_order.py                                 | Python           |         43 |          2 |         10 |         55 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\constants.py                                               | Python           |         95 |         18 |         19 |        132 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\__init__.py                                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\change_plan_action_table.py                            | Python           |        162 |          9 |         33 |        204 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\change_plan_table.py                                   | Python           |         75 |          4 |         22 |        101 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\database.py                                            | Python           |          5 |          1 |          5 |         11 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\datacenter_table.py                                    | Python           |         88 |          4 |         30 |        122 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\decommission_table.py                                  | Python           |         86 |          2 |         14 |        102 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\exceptions\ChangeModelDBException.py                   | Python           |          3 |          0 |          1 |          4 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\instance_table.py                                      | Python           |        215 |         17 |         41 |        273 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\model_table.py                                         | Python           |        165 |          8 |         32 |        205 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\rack_table.py                                          | Python           |         76 |          6 |         20 |        102 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\routes.py                                              | Python           |        130 |          8 |         39 |        177 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\user_table.py                                          | Python           |        125 |          9 |         19 |        153 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\change_plan.py                                 | Python           |         31 |         10 |          8 |         49 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\change_plan_action.py                          | Python           |         29 |         10 |          7 |         46 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\datacenter.py                                  | Python           |         11 |          8 |          5 |         24 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\decommission.py                                | Python           |         55 |         11 |          7 |         73 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\instance.py                                    | Python           |        126 |         71 |         35 |        232 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\model.py                                       | Python           |        203 |         18 |         36 |        257 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\permission.py                                  | Python           |         40 |          6 |          8 |         54 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\rack.py                                        | Python           |         20 |          6 |          7 |         33 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\data_models\user.py                                        | Python           |         49 |         12 |          9 |         70 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\DatacenterAPI.md                               | Markdown         |         99 |          0 |          5 |        104 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\datacenter_manager.py                          | Python           |         97 |          0 |         18 |        115 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\datacenter_validator.py                        | Python           |         50 |          0 |         20 |         70 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\datacenters\routes_datacenters.py                          | Python           |        103 |          5 |         25 |        133 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decommissions\DecommissionsAPI.md                          | Markdown         |        130 |          0 |          4 |        134 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decommissions\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decommissions\decommission_manager.py                      | Python           |         93 |          0 |         13 |        106 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decommissions\routes_decommissions.py                      | Python           |         60 |          5 |         19 |         84 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decorators\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decorators\auth.py                                         | Python           |        164 |         18 |         34 |        216 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\decorators\logs.py                                         | Python           |         29 |          5 |          8 |         42 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\exceptions\BackupExceptions.py                             | Python           |          6 |          0 |          3 |          9 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\exceptions\InvalidInputsException.py                       | Python           |          3 |          0 |          1 |          4 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\exceptions\UserExceptions.py                               | Python           |         36 |          0 |         23 |         59 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\exceptions\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\import_export\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\import_export\routes.py                                    | Python           |        346 |         63 |        104 |        513 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\InstancesAPI.md                                  | Markdown         |        270 |          0 |          2 |        272 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\__init__.py                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\asset_num.json                                   | JSON             |          4 |          0 |          1 |          5 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\asset_num_generator.py                           | Python           |         53 |          0 |         16 |         69 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\barcode_generator.py                             | Python           |         60 |          0 |         16 |         76 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\instance_manager.py                              | Python           |        402 |          4 |         64 |        470 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\instance_validator.py                            | Python           |        226 |          0 |         48 |        274 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\instances\routes_instances.py                              | Python           |        211 |         27 |         44 |        282 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\logging\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\logging\logger.py                                          | Python           |        209 |         27 |         77 |        313 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\logging\routes_logging.py                                  | Python           |         30 |          3 |         13 |         46 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\main\__init__.py                                           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\main\types.py                                              | Python           |          4 |          0 |          2 |          6 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\ModelsAPI.md                                        | Markdown         |        218 |          0 |          2 |        220 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\model_manager.py                                    | Python           |        122 |          9 |         20 |        151 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\model_validator.py                                  | Python           |         63 |          0 |         15 |         78 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\models\routes_models.py                                    | Python           |        139 |          6 |         38 |        183 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\permissions\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\permissions\permissions_constants.py                       | Python           |          7 |          0 |          1 |          8 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\permissions\permissions_manager.py                         | Python           |         25 |          0 |          6 |         31 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\permissions\routes_permissions.py                          | Python           |         28 |          3 |         13 |         44 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\RacksAPI.md                                          | Markdown         |        125 |          0 |          4 |        129 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\diagram_manager.py                                   | Python           |         63 |          4 |         13 |         80 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\rack_manager.py                                      | Python           |        139 |         10 |         34 |        183 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\racks_routes.py                                      | Python           |        193 |         13 |         41 |        247 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\RacksAPI.md                                          | Markdown         |         99 |          0 |          4 |        103 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\StatsAPI.md                                          | Markdown         |         53 |          0 |          4 |         57 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\routes_stats.py                                      | Python           |         43 |          2 |         18 |         63 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\stats_manager.py                                     | Python           |        102 |          0 |         26 |        128 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\UsersAPI.md                                          | Markdown         |        240 |          0 |          5 |        245 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\authentication.py                                    | Python           |         87 |         47 |         22 |        156 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\routes_users.py                                      | Python           |        125 |         35 |         40 |        200 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\token_blacklist.json                                 | JSON             |        263 |          0 |          1 |        264 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\users_manager.py                                     | Python           |        241 |         54 |         74 |        369 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\validator.py                                         | Python           |        128 |         53 |         46 |        227 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\application.py                                                 | Python           |         73 |         15 |         23 |        111 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\models\modely.py                                               | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\create_db.py                                           | Python           |         43 |          3 |         10 |         56 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\create_db_local.py                                     | Python           |         44 |          3 |          9 |         56 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\model_setup.py                                         | Python           |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\setup_db.sh                                            | Shell Script     |          1 |          1 |          2 |          4 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\setup_db_local.sh                                      | Shell Script     |          3 |          1 |          2 |          6 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\user_setup.py                                          | Python           |         81 |          5 |         32 |        118 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\settings.py                                                    | Python           |          4 |          0 |          5 |          9 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\static\css\main.e5ee5f62.chunk.css                             | CSS              |          1 |          1 |          1 |          3 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\static\js\2.cdab1af6.chunk.js                                  | JavaScript       |          1 |          2 |          1 |          4 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\static\js\main.33df8d9d.chunk.js                               | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\static\js\runtime-main.b7b6d3d5.js                             | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\templates\index.html                                           | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\README.md                                                      | Markdown         |         37 |          0 |         32 |         69 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\package.json                                                   | JSON             |        105 |          0 |          1 |        106 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\public\index.html                                              | HTML             |         20 |         23 |          4 |         47 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\public\manifest.json                                           | JSON             |         25 |          0 |          1 |         26 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\index.jsx                                                  | JavaScript React |          5 |          0 |          2 |          7 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\Constants.jsx                                   | JavaScript React |         38 |          3 |         11 |         52 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\JSONKeys.jsx                                    | JavaScript React |          4 |          3 |          2 |          9 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\Login.jsx                                       | JavaScript React |        213 |         15 |         23 |        251 |
